Test,0.05,2,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\2fer.jpg,0
test,0.07,1,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\airheads.jpg,1
test,0.7,9,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\2fer.jpg,2
testing,0.05,0,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\extragum.jpg,3
tungsten,0.07,33,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\airheads.jpg,4
hi,0.07,97,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\airheads.jpg,5
this is a test,0.08,4,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\almondjoy.png,6
test,0.07,1,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\almondjoy.png,7
this is a test,0.07,2,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\juicyfruit.jpg,8
Test,0.05,2,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\2fer.jpg,9
Test,0.05,0,H:\Students_Folder\Charlie Hatch\Semesters\Multi-Semester\App Dev\Projects\Advanced Appdev\Snack-Shack\presetImages\airheads.jpg,10
